Date,Open,High,Low,Close,Adj Close,Volume
03-08-2015,713.799988,716.950012,705,712.299988,696.087708,916688
04-08-2015,717.950012,717.950012,703.099976,709.650024,693.497986,1237267
05-08-2015,710.950012,721.900024,709,718.599976,702.244202,1274983
06-08-2015,720.25,731.099976,718.049988,723.400024,706.935059,1374485
07-08-2015,724.700012,728.849976,713.5,715.150024,698.872803,980254
10-08-2015,717.400024,723.5,710.75,715.25,698.970642,914543
11-08-2015,719,729,713.950012,719.200012,704.801392,1636795
12-08-2015,718.450012,724.299988,696.75,707.650024,693.482727,2149755
13-08-2015,711.799988,730,710.5,725.5,710.97522,2079678
14-08-2015,735,741.75,730.25,739.599976,724.79303,3238561
17-08-2015,744.950012,745,701,703.150024,689.072754,7582133
18-08-2015,709,709.400024,680.799988,683.799988,670.110046,5972184
19-08-2015,687,703.400024,686.900024,696.099976,682.163818,2593642
20-08-2015,697.5,708,688.400024,691.599976,677.753967,2267326
21-08-2015,680,700.950012,671.099976,697.400024,683.437866,2011811
24-08-2015,675,681.900024,626,635.849976,623.120117,4568527
25-08-2015,649,654,605.700012,645.400024,632.478943,4891926
26-08-2015,648,649,633.5,637.450012,624.68811,2031606
27-08-2015,652,667.799988,640,660.950012,647.717529,3929856
28-08-2015,675,679.700012,655,659.849976,646.639648,2111583
31-08-2015,659.799988,685,655.099976,682.150024,668.493225,2172057
01-09-2015,682,688.400024,657,663.150024,649.873535,2567389
02-09-2015,665,669.75,644.099976,648.299988,635.320862,2734383
03-09-2015,659,663.75,651.799988,655.650024,642.523682,3366027
04-09-2015,676.25,679.799988,646.5,649.549988,636.545776,4428049
07-09-2015,656,662,647.25,649.549988,636.545776,1844881
08-09-2015,652,654.099976,623.5,650,636.986816,2197872
09-09-2015,662.849976,668,650.099976,656.450012,643.307617,1561345
10-09-2015,649,657.5,640.700012,653.700012,640.612732,1254979
11-09-2015,660,662.75,648.900024,653.150024,640.073853,1179996
14-09-2015,654.75,663,650.5,660.700012,647.472656,796196
15-09-2015,665.950012,667,653.5,658.299988,645.120605,921666
16-09-2015,660.200012,665.700012,657,661.599976,648.354553,1038816
18-09-2015,667,669,647.049988,652,638.946777,2152655
21-09-2015,648,652,639.599976,649.25,636.25177,1001552
22-09-2015,653,653.299988,642.099976,644.150024,631.253906,1673424
23-09-2015,638.799988,644,633.5,642.150024,629.294067,1098608
24-09-2015,640,650.799988,639,643.099976,630.224976,2130588
28-09-2015,648,653.849976,639.049988,641.900024,629.049011,2002727
29-09-2015,636.799988,644.799988,628.5,636.5,623.75708,1385234
30-09-2015,638,639.950012,631.200012,636.049988,623.31604,3135198
01-10-2015,642.900024,649,631.450012,633.549988,620.86615,2945165
05-10-2015,639.650024,642,633.650024,640.099976,627.285034,2469393
06-10-2015,643.900024,666.450012,641.349976,664,650.706543,2513511
07-10-2015,668.900024,683.599976,660.599976,680.799988,667.170227,2160153
08-10-2015,688,689.5,672.049988,680.25,666.631226,2304302
09-10-2015,684.400024,691.900024,679.25,689.549988,675.744995,1867010
12-10-2015,692,692.799988,675,676.349976,662.809204,980356
13-10-2015,676.25,681,673.5,679.049988,665.4552,1215291
14-10-2015,673,680.200012,660,679.200012,665.602234,1219164
15-10-2015,683.75,683.950012,669.400024,670.950012,657.517456,1232379
16-10-2015,674.400024,680.5,669,679.450012,665.847229,1925227
19-10-2015,679.5,689.700012,677,688.450012,674.667114,2154963
20-10-2015,689.650024,689.650024,658.599976,673.599976,660.11438,5642920
21-10-2015,673.599976,681.900024,672,678,664.42627,2005358
23-10-2015,682.099976,686,679.299988,682.200012,668.542175,1705211
26-10-2015,683.400024,684,673.400024,681.25,667.611267,1217235
27-10-2015,676,688,672.25,684.700012,670.992065,1610215
28-10-2015,682.25,702.25,675.799988,696.049988,682.114807,1537365
29-10-2015,699,704.900024,689.5,691.549988,677.704956,2975896
30-10-2015,699,703.900024,688.049988,690.450012,676.627014,1885373
02-11-2015,688.950012,688.950012,674.400024,680.25,666.631226,766804
03-11-2015,686.049988,686.049988,671.099976,675.400024,661.878296,1048233
04-11-2015,680,680.950012,668.099976,670.700012,657.272461,1321427
05-11-2015,675,675.400024,655.200012,658.049988,644.87561,1833741
06-11-2015,655,672.700012,651,658.150024,644.973694,1715887
09-11-2015,644.099976,649.700012,638.599976,647.599976,634.634827,1192556
10-11-2015,647,648.5,637.5,641.900024,629.049011,1166182
13-11-2015,635,635.950012,615.099976,617.900024,605.52948,2193410
16-11-2015,617.849976,631.150024,613.150024,625.799988,613.271301,1127051
17-11-2015,628.950012,638.900024,628,635.75,623.022095,808720
18-11-2015,634.799988,642,627.400024,629.75,617.142212,1026565
19-11-2015,635,637.400024,629.849976,635.650024,622.924133,523990
20-11-2015,635.900024,648.900024,631.099976,646.849976,633.899841,1070873
23-11-2015,647.599976,648,633.5,641.450012,628.607971,878175
24-11-2015,640,646.799988,635,637.299988,624.541138,909556
26-11-2015,639.799988,641.900024,633.099976,634.549988,621.846069,1319195
27-11-2015,637.400024,645.700012,635.549988,643.650024,630.763977,1110713
30-11-2015,643,651.5,639,643.650024,630.763977,2146672
01-12-2015,645.5,650,645,648.549988,635.565796,670534
02-12-2015,648.599976,661.400024,648.5,658.400024,645.21875,1610659
03-12-2015,652.75,656,642.25,651.200012,638.162842,1484709
04-12-2015,649.650024,655,643.599976,645.799988,632.870911,1127553
07-12-2015,647.950012,654,640.099976,645.200012,632.28302,921343
08-12-2015,642,648.5,638.400024,642.599976,629.735046,730708
09-12-2015,642.049988,644.900024,620,623.799988,611.311279,1044192
10-12-2015,625.049988,640.849976,622,636.799988,624.051086,1030589
11-12-2015,636.549988,642.950012,630.75,639.25,626.452087,1104857
14-12-2015,637.900024,643.799988,631.049988,637.049988,624.296082,721113
15-12-2015,637.049988,641.5,636.549988,638.900024,626.109009,948636
16-12-2015,642.950012,643.950012,637.099976,638.650024,625.864075,1166504
17-12-2015,639,644.950012,636.299988,642.900024,630.028992,1333918
18-12-2015,642.799988,649.299988,640.099976,642.099976,629.244995,995474
21-12-2015,649.799988,649.799988,641.099976,643.700012,630.812927,738842
22-12-2015,643.950012,648,641.5,644.200012,631.302917,508379
23-12-2015,646,649.400024,644.5,647.450012,634.487854,342498
24-12-2015,648.799988,654.400024,645.200012,648.200012,635.222839,395801
28-12-2015,648.150024,659.450012,647.299988,657.599976,644.434631,793844
29-12-2015,660,660,652,653.849976,640.759705,472504
30-12-2015,653.799988,657,650.099976,653.200012,640.122742,587218
31-12-2015,653,655,647.200012,649.75,636.741821,765254
01-01-2016,653.200012,658.450012,648.5,655.349976,642.229675,556012
04-01-2016,652.049988,653.799988,639.400024,645.650024,632.723877,631534
05-01-2016,646.200012,649.950012,638.049988,640.849976,628.019958,642269
06-01-2016,639.700012,655.950012,638.700012,652.099976,639.044739,1234096
07-01-2016,648,650,629,637.450012,624.68811,732335
08-01-2016,637.299988,645,614,622.349976,609.890381,1553402
11-01-2016,617.400024,617.400024,604.25,610.049988,597.83667,1668698
12-01-2016,609,616.900024,605.700012,611.450012,599.208618,1278522
13-01-2016,615.25,615.950012,596.099976,608.650024,596.464722,794118
14-01-2016,603.400024,617.049988,596.75,614.299988,602.001587,986574
15-01-2016,616,616.950012,602.349976,609.099976,596.90564,1119442
18-01-2016,608,608.049988,586.400024,591.049988,579.21698,1435098
19-01-2016,590.349976,600.799988,583,598.049988,586.076904,849433
20-01-2016,594.799988,603.150024,588,593.150024,581.275024,1002709
21-01-2016,600.25,601.450012,576.549988,580.25,568.633301,1452498
22-01-2016,582.799988,588.5,577.400024,581.900024,570.250244,1297154
25-01-2016,590,590,579.200012,580.599976,568.976135,910559
27-01-2016,582,587.650024,572.299988,580.5,568.878235,982504
28-01-2016,581,585.5,575,577.799988,566.2323,1336930
29-01-2016,579.950012,592,578.099976,585.099976,573.386108,1146060
01-02-2016,591.900024,605.950012,589.150024,599.450012,587.448914,1045333
02-02-2016,601,606.049988,562,574,562.508362,1779141
03-02-2016,570,578.799988,559.400024,562.049988,550.797607,1188642
04-02-2016,567,570.400024,540.049988,550.400024,539.380859,1614064
05-02-2016,555,573.299988,544.099976,570.150024,558.735474,864080
08-02-2016,574.950012,575.75,561.099976,566.849976,555.501404,1264314
09-02-2016,564.900024,571.200012,551.099976,555.849976,544.72168,1357674
10-02-2016,555,558.950012,534,538.599976,527.817017,2425499
11-02-2016,530,548.700012,517.299988,540.849976,530.022034,5647601
12-02-2016,543,543.549988,525.049988,528.599976,518.017212,1981976
15-02-2016,533.049988,542,528.5,539.700012,528.895142,2467275
16-02-2016,545.950012,549.5,520.450012,524.049988,513.55835,2664696
17-02-2016,526,526.5,513.400024,519.099976,508.707458,1924596
18-02-2016,527.099976,529.400024,520.599976,524.400024,513.901367,1967772
19-02-2016,525.950012,531,519.200012,524.650024,514.146362,1054082
22-02-2016,529.349976,531.849976,525,530.5,519.879211,1236400
23-02-2016,531.900024,532.900024,517.5,522.599976,512.137329,1047760
24-02-2016,522.200012,523.049988,510.5,513.950012,503.660614,1836770
25-02-2016,518,521.799988,510,519,508.609497,2723564
26-02-2016,522.849976,527.75,519,524,513.509399,1985528
29-02-2016,528,528,505,514.150024,503.856567,3487816
01-03-2016,515,521.400024,509.600006,516.349976,506.012482,2146110
02-03-2016,523.5,532,519.400024,525.599976,515.077332,3422308
03-03-2016,530,531,523.400024,527.099976,516.547241,3101778
04-03-2016,533.700012,545.599976,530.25,537.700012,526.935059,2693406
08-03-2016,539.799988,549.700012,528.799988,532.349976,521.6922,1409496
09-03-2016,533.849976,535,521.349976,529.299988,518.703247,4376676
10-03-2016,530.200012,540.200012,530,533.950012,523.260254,3609343
11-03-2016,534.5,538.549988,530.950012,534.599976,523.897095,2806975
14-03-2016,538,543.75,530.099976,537.599976,526.837097,3909833
15-03-2016,538.599976,539,522,525.049988,514.53833,2961527
16-03-2016,524.900024,534.799988,516.200012,531,520.369202,2221318
17-03-2016,536.299988,537,521.549988,524.549988,514.048279,2100095
18-03-2016,529,530.049988,517.5,528.25,517.674377,4345885
21-03-2016,530,538.400024,527.5,535.849976,525.122131,1221223
22-03-2016,537.5,539,531.049988,535.299988,524.58313,1529194
23-03-2016,534.799988,536.299988,525.549988,532.799988,522.133179,1361735
28-03-2016,536.299988,537.349976,522.099976,524.200012,513.705383,1947564
29-03-2016,521.049988,525,494.549988,503.5,493.4198,6503207
30-03-2016,506.950012,516.5,502.5,512.349976,502.09256,4372138
31-03-2016,513,518,507.899994,511.950012,501.700623,3086978
01-04-2016,513.799988,517.299988,510,514.549988,504.248566,1239447
04-04-2016,519,519,512.150024,514.299988,504.00354,768318
05-04-2016,513,516,501.450012,503,492.92981,1086907
06-04-2016,503.350006,507.5,497,504.950012,494.84079,1820374
07-04-2016,505.75,513.049988,501.700012,506.399994,496.261719,2102922
08-04-2016,509.799988,510.600006,503.25,504.450012,494.3508,1262329
11-04-2016,505.5,506,497.049988,502.149994,492.096802,2929584
12-04-2016,502.700012,508.850006,499.700012,501.950012,491.900818,3622355
13-04-2016,505.149994,515,504,511.899994,501.651642,3642720
18-04-2016,515,525.700012,507.100006,524.099976,513.6073,3507933
20-04-2016,525,530.400024,519.25,527.200012,516.645386,2898556
21-04-2016,530,534,526.599976,532,521.349243,3392813
22-04-2016,529.700012,536.549988,527,531.349976,520.712219,1880283
25-04-2016,532.5,533.849976,523.5,526.5,515.959351,1959119
26-04-2016,524.650024,542.25,524.150024,540.5,529.678955,1855477
27-04-2016,539.5,544.299988,534.5,540.200012,529.385071,1456338
28-04-2016,538.900024,543.75,525,528.25,517.674377,3088525
29-04-2016,527.200012,538.400024,527.099976,537,526.249084,932705
02-05-2016,536.950012,544.599976,535,540.650024,529.826111,1336667
03-05-2016,540,547,526.549988,536.849976,526.102051,1524809
04-05-2016,534,541.349976,529,533.200012,522.525208,785756
05-05-2016,535.5,544,533.5,541.799988,530.953003,1025103
06-05-2016,540,542.75,535.099976,537.349976,526.592102,511789
09-05-2016,538.299988,540.200012,533.25,536.549988,525.808105,727957
10-05-2016,537,539.5,532.75,537.049988,526.298157,669096
11-05-2016,532,539.5,530.75,536.599976,525.857117,943441
12-05-2016,536.950012,542.450012,534.349976,536.299988,525.563171,670055
13-05-2016,534.450012,538.700012,530.049988,531.700012,521.055115,891484
16-05-2016,533.849976,533.849976,520.349976,521.799988,511.353363,883516
17-05-2016,523,528.650024,522.5,523.75,513.264343,679688
18-05-2016,522.549988,526.75,520.049988,524.549988,514.048279,653047
19-05-2016,524.099976,525.900024,510.200012,512.700012,502.435608,1062398
20-05-2016,514.299988,515.25,501.200012,507.100006,496.947723,1700932
23-05-2016,510,510,494.799988,497.399994,487.441895,2021694
24-05-2016,499.950012,505.200012,491.549988,494.049988,484.158936,2526624
25-05-2016,480,480,457.450012,469.799988,460.39447,15183389
26-05-2016,472.700012,473.899994,466,467.950012,458.581512,4432025
27-05-2016,470.899994,478.5,469.100006,473.450012,463.971405,2638981
30-05-2016,476.950012,478.5,470,473.549988,464.069397,1183625
31-05-2016,475.399994,479.25,471,472.649994,463.187408,2368362
01-06-2016,474.700012,474.700012,462.75,464.899994,455.59256,1247617
02-06-2016,464.450012,470,459,468.100006,458.728546,1354914
03-06-2016,470.5,473.950012,462.299988,465.200012,455.886566,1318109
06-06-2016,468.950012,471.5,465.399994,466.649994,457.307526,1409144
07-06-2016,466.649994,471.899994,466.649994,468.350006,458.973541,1797918
08-06-2016,471.850006,474,468,472.149994,462.697418,811331
09-06-2016,473.549988,481.950012,469.100006,479.100006,469.50827,1695845
10-06-2016,475,486.600006,474.5,476.450012,466.911346,1704257
13-06-2016,474.950012,479.899994,465.549988,468.700012,459.316528,1271568
14-06-2016,470.100006,484,469.549988,482.700012,473.036224,2522251
15-06-2016,485.899994,492.549988,483.799988,490.049988,480.239044,1860880
16-06-2016,487.799988,488.850006,479.350006,486.649994,476.907135,1239939
17-06-2016,487,490,484.049988,486.450012,476.711151,593507
20-06-2016,486.649994,490.899994,482.549988,488.25,478.475128,1026672
21-06-2016,490,490,480.299988,483.399994,473.722198,861422
22-06-2016,483.850006,486.5,480,482.450012,472.791229,673949
23-06-2016,481.100006,483,474.649994,475.75,466.225342,1918112
24-06-2016,468,478,459.600006,476.549988,467.009308,1875935
27-06-2016,475,491,474,489.049988,479.259064,2362093
28-06-2016,490,499,486.549988,497.350006,487.392883,1775304
29-06-2016,498.799988,504,496.049988,502.450012,492.390808,1048438
30-06-2016,505,506.799988,499.450012,501,490.969818,2152521
01-07-2016,502,510,499.850006,508.600006,498.417664,1008068
04-07-2016,510.700012,513.400024,508.100006,510.200012,499.985687,1055119
05-07-2016,510.200012,511.100006,502.700012,507,496.849731,689915
07-07-2016,505.5,517.349976,504.049988,514.299988,504.00354,2078580
08-07-2016,518,522.450012,513.049988,520.299988,509.883453,1828792
11-07-2016,525.400024,528.25,520,522,511.549377,1441960
12-07-2016,522.5,522.900024,514.099976,515.700012,505.375549,891315
13-07-2016,516,519.450012,511.200012,514.599976,504.297516,1202156
14-07-2016,515.900024,516.599976,507,511.950012,501.700623,1257722
15-07-2016,513.950012,518.900024,510.200012,516.400024,506.061554,1004156
18-07-2016,517.049988,517.299988,505.299988,506.950012,496.80069,1459230
19-07-2016,507,510.399994,500.549988,505.799988,495.673737,1027246
